State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Total_Vehicles,Electric (EV)_pct,Plug-In Hybrid Electric (PHEV)_pct,Hybrid Electric (HEV)_pct,Biodiesel_pct,Ethanol/Flex (E85)_pct,Compressed Natural Gas (CNG)_pct,Propane_pct,Hydrogen_pct,Methanol_pct,Gasoline_pct,Diesel_pct,Unknown Fuel_pct,State_Share_of_US_pct
Alabama,13000.0,5800.0,63300.0,54200.0,441200.0,100.0,100.0,0.0,0.0,4102200.0,127000.0,29000.0,4835900.0,0.269,0.12,1.309,1.121,9.123,0.002,0.002,0.0,0.0,84.828,2.626,0.6,1.684
Alaska,2700.0,900.0,10600.0,9600.0,46800.0,0.0,0.0,0.0,0.0,454300.0,29800.0,5100.0,559800.0,0.482,0.161,1.894,1.715,8.36,0.0,0.0,0.0,0.0,81.154,5.323,0.911,0.195
Arizona,89800.0,25600.0,175700.0,68600.0,437100.0,600.0,700.0,0.0,0.0,5469000.0,197700.0,64200.0,6529000.0,1.375,0.392,2.691,1.051,6.695,0.009,0.011,0.0,0.0,83.765,3.028,0.983,2.274
Arkansas,7100.0,3200.0,37000.0,37000.0,276700.0,200.0,0.0,0.0,0.0,2246100.0,90700.0,10300.0,2708300.0,0.262,0.118,1.366,1.366,10.217,0.007,0.0,0.0,0.0,82.934,3.349,0.38,0.943
California,1256600.0,410700.0,1703200.0,201600.0,1314600.0,10100.0,1500.0,16900.0,0.0,31191900.0,735300.0,7900.0,36850300.0,3.41,1.115,4.622,0.547,3.567,0.027,0.004,0.046,0.0,84.645,1.995,0.021,12.836
Colorado,90100.0,37500.0,152700.0,68100.0,334300.0,300.0,100.0,0.0,0.0,4508800.0,203400.0,46500.0,5441800.0,1.656,0.689,2.806,1.251,6.143,0.006,0.002,0.0,0.0,82.855,3.738,0.854,1.895
Connecticut,31600.0,18400.0,75300.0,10900.0,133600.0,100.0,0.0,0.0,0.0,2612600.0,42300.0,20900.0,2945700.0,1.073,0.625,2.556,0.37,4.535,0.003,0.0,0.0,0.0,88.692,1.436,0.71,1.026
Delaware,8400.0,3800.0,22900.0,5100.0,63900.0,0.0,0.0,0.0,0.0,791300.0,14200.0,5100.0,914700.0,0.918,0.415,2.504,0.558,6.986,0.0,0.0,0.0,0.0,86.509,1.552,0.558,0.319
District of Columbia,8100.0,3700.0,18100.0,400.0,16800.0,100.0,0.0,0.0,0.0,262500.0,1800.0,600.0,312100.0,2.595,1.186,5.799,0.128,5.383,0.032,0.0,0.0,0.0,84.108,0.577,0.192,0.109
Florida,254900.0,57300.0,414500.0,170500.0,1101100.0,400.0,100.0,0.0,0.0,16136500.0,351800.0,96100.0,18583200.0,1.372,0.308,2.231,0.917,5.925,0.002,0.001,0.0,0.0,86.834,1.893,0.517,6.473
Georgia,92400.0,22700.0,175300.0,92500.0,719400.0,300.0,200.0,0.0,0.0,8256400.0,206300.0,76900.0,9642400.0,0.958,0.235,1.818,0.959,7.461,0.003,0.002,0.0,0.0,85.626,2.14,0.798,3.359
Hawaii,25600.0,7300.0,36400.0,3400.0,37300.0,0.0,0.0,0.0,0.0,951000.0,15400.0,3700.0,1080100.0,2.37,0.676,3.37,0.315,3.453,0.0,0.0,0.0,0.0,88.047,1.426,0.343,0.376
